Date;company;Date2;location;Date3;title
2016-05-14;東森整合行銷股份有限公司;2016-05-14;新北市 中和區;2016-05-14;數據分析及研究專才
2016-05-14;程曦資訊整合股份有限公司;2016-05-14;台北市 松山區;2016-05-14;SE系統工程師(具Hadoop安裝經驗)
2014-04-06;台灣積體電路製造股份有限公司;2014-04-06;台中市 大雅區;2014-04-06;資訊工程類 - 系統/軟體開發工程師(中科)
2014-04-06;台灣積體電路製造股份有限公司;2014-04-06;台南市 善化區;2014-04-06;資訊工程類 - 系統/軟體開發工程師(南科)
2014-04-06;台灣新蛋股份有限公司;2014-04-06;台中市 西屯區;2014-04-06;Hadoop 軟體工程師(台中)
2014-04-06;台灣積體電路製造股份有限公司;2014-04-06;台中市 大雅區;2014-04-06;資訊工程類 - 資訊系統管理工程師(中科)
2014-08-14;勁智數位科技股份有限公司;2014-08-14;台北市 大安區;2014-08-14;HPC/Hadoop RD工程師(台北)
2014-08-14;永慶房屋仲介股份有限公司;2014-08-14;台北市 大安區;2014-08-14;Big Data資深開發工程師
2014-08-02;動力安全資訊股份有限公司;2014-08-02;台北市 內湖區;2014-08-02;Software Engineer: Splunk Big Data & Hadoop
2014-05-26;趨勢科技;2014-05-26;台北市;2014-05-26;Sr. Engineer
2014-05-26;財團法人金屬工業研究發展中心;2014-05-26;高雄市 楠梓區;2014-05-26;海量資料系統開發工程師
2014-07-15;港商 Satisfly Ltd;2014-07-15;台北市;2014-07-15;港商 Satisfly - 尋找 Data Scientist / Data Mining Engineer
2014-07-15;港商 Satisfly Ltd;2014-07-15;台北市;2014-07-15;港商 Satisfly - 尋找 Platform Engineer
2014-07-15;宏達國際電子股份有限公司;2014-07-15;新北市 新店區;2014-07-15;(Studio Engineering) Cloud Application Developer (新店) - J00801
2016-04-12;台灣亞馬遜網路服務有限公司;2016-04-12;台北市 信義區;2016-04-12;AWS Technical support Team Manager
2016-04-12;威盛電子股份有限公司;2016-04-12;新北市 新店區;2016-04-12;-Software Engineer (Cloud)
2014-04-28;台灣積體電路製造股份有限公司;2014-04-28;新竹市;2014-04-28;資訊工程類 - 資訊系統管理工程師(竹科)
2014-05-05;神通資訊科技股份有限公司;2014-05-05;台北市 內湖區;2014-05-05;商業智慧管理師(D6)
2014-08-28;和碩聯合科技股份有限公司;2014-08-28;台北市 北投區;2014-08-28;Hadoop軟體研發工程師_3215
2014-05-16;台灣新蛋股份有限公司;2014-05-16;台中市 西屯區;2014-05-16;Software Developer (Java)(台中)
2014-05-27;中強光電股份有限公司;2014-05-27;苗栗縣 竹南鎮;2014-05-27;研發類-BI系統資深工程師(IBS)
2014-05-27;Pinkoi - 亞洲最大設計品網路購物商城;2014-05-27;台北市 大安區;2014-05-27;Pinkoi 找 Data Scientist / Data Mining Engineer
2014-05-27;台灣新蛋股份有限公司;2014-05-27;高雄市 前鎮區;2014-05-27;軟(韌)體設計工程師
2016-04-15;Merck KGaA;2016-04-15;台北市;2016-04-15;IT Business Partner, Life Science - Merck Taiwan
2016-04-15;雅虎奇摩(Yahoo! Inc.);2016-04-15;台北市;2016-04-15;2016 Summer Intern, Technical – Data Engineering
2016-04-15;IMC精英|精隼|精明;2016-04-15;台北市;2016-04-15;IT Business Partner (ITBP)-Life science
2017-10-28;Micron;2017-10-28;台中市;2017-10-28;IT- Big Data Software Engineer (Taichung or Taipei)
2017-10-28;Amazon Web Services Taiwan Ltd;2017-10-28;台北市;2017-10-28;Technical Account Manager - Amazon Web Services
2017-10-28;中華電信股份有限公司;2017-10-28;台北市;2017-10-28;人工智慧應用與服務
2017-10-28;富邦媒體科技股份有限公司;2017-10-28;台北市 內湖區;2017-10-28;機器演算法/資料科學工程師
2017-10-28;富邦媒體科技股份有限公司(富邦momo);2017-10-28;台北市 內湖區;2017-10-28;D4000 機器演算法/資料科學工程師
2017-10-28;台貿全球電子商務股份有限公司;2017-10-28;新北市 林口區;2017-10-28;雲端平台研發工程師
2014-04-22;趨勢科技;2014-04-22;台北市;2014-04-22;Sr. Cloud Service Development Engineer
2014-07-08;台灣積體電路製造股份有限公司;2014-07-08;台中市 大雅區;2014-07-08;資訊工程類 - 資訊系統管理工程師(中科)
2014-07-08;想上廣告股份有限公司;2014-07-08;台北市 內湖區;2014-07-08;資深軟體工程主管
2014-07-08;台灣新蛋股份有限公司;2014-07-08;台中市 西屯區;2014-07-08;Hadoop 軟體工程師(台中)
2014-07-08;台灣積體電路製造股份有限公司;2014-07-08;台南市 善化區;2014-07-08;資訊工程類 - 系統/軟體開發工程師(南科)
2014-06-13;宏達國際電子股份有限公司;2014-06-13;新北市 新店區;2014-06-13;(Studio Engineering) Cloud Application Developer (新店) - J00801
2014-06-13;宏達國際電子股份有限公司;2014-06-13;桃園縣 桃園市;2014-06-13;(Information Technology) Cloud Operation Network Engineer - J00913
2014-06-13;中強光電股份有限公司;2014-06-13;苗栗縣 竹南鎮;2014-06-13;研發類-巨量資料技術研發工程師(IBS)
2014-06-13;宏達國際電子股份有限公司;2014-06-13;新北市 新店區;2014-06-13;(Studio Engineering) Site reliability engineer, large-scale services (系統應用工程師) - J00783
2014-09-05;永慶房產集團;2014-09-05;台北市 大安區;2014-09-05;Big Data資深開發工程師.
2014-03-30;叡揚資訊股份有限公司;2014-03-30;台北市 中山區;2014-03-30;軟體工程師(14022101)
2014-04-01;新加坡商立可人事顧問有限公司;2014-04-01;台北市 信義區;2014-04-01;DL-知名外商遊戲研發公司徵Architect
2014-04-01;新加坡商立可人事顧問有限公司;2014-04-01;台北市 信義區;2014-04-01;DC-潛力遊戲外商公司 徵 Architect
2014-04-01;優力華人力資源管理顧問有限公司;2014-04-01;台北市 大安區;2014-04-01;Data Engineer
2014-04-01;新加坡商立可人事顧問有限公司;2014-04-01;台北市 大安區;2014-04-01;AL-[知名EC平台]Data Engineer 800K-5M fixed
2014-04-01;傑報人力資源顧問有限公司;2014-04-01;台北市 內湖區;2014-04-01;Internet Service Delivery and Development Center - IT Consultant
2014-04-01;新加坡商立可人事顧問有限公司;2014-04-01;台北市 信義區;2014-04-01;JH-遊戲公司徵MySQL DBA 年薪90萬到130萬
2014-04-01;新加坡商立可人事顧問有限公司;2014-04-01;台北市 信義區;2014-04-01;JN-遊戲公司徵MySQL DBA 年薪90萬到130萬
2014-05-12;趨勢科技;2014-05-12;台北市;2014-05-12;Cloud Service Engineer
2014-05-12;遠傳電信股份有限公司;2014-05-12;台北市 內湖區;2014-05-12;Big Data 技術副理
2014-05-12;遠傳電信股份有限公司;2014-05-12;台北市 內湖區;2014-05-12;Big Data 技術架構師(Architect)
2014-04-25;關貿網路股份有限公司;2014-04-25;台北市 南港區;2014-04-25;研發替代役人員_巨量資料分析平台
2014-04-25;關貿網路股份有限公司;2014-04-25;台北市 南港區;2014-04-25;研發替代役人員_雲端運算平台及營運管理服務機制建置
2014-04-25;趨勢科技股份有限公司;2014-04-25;台北市 大安區;2014-04-25;: Sr. Cloud Service Development Engineer
2014-04-25;趨勢科技股份有限公司;2014-04-25;台北市 大安區;2014-04-25;: Sr. Cloud Development Engineer
2014-04-25;財團法人金屬工業研究發展中心;2014-04-25;高雄市 楠梓區;2014-04-25;海量資料系統開發工程師
2014-09-06;願境網訊股份有限公司;2014-09-06;台北市 南港區;2014-09-06;Engineer for Video Recommendation Framework
2014-09-06;華亞科技股份有限公司;2014-09-06;桃園縣 龜山鄉;2014-09-06;電子商務技術主管
2014-04-08;和碩聯合科技股份有限公司;2014-04-08;台北市 北投區;2014-04-08;Big Data軟體工程師_3157
2014-06-17;米高蒲志(Michael Page);2014-06-17;台北市;2014-06-17;Data Scientist
2014-06-17;愛爾達科技股份有限公司;2014-06-17;台北市 中正區;2014-06-17;Technical Manager
2016-04-19;中華電信公司;2016-04-19;台灣;2016-04-19;105年第11次中華電信公司菁英人員遴選簡章
2016-04-19;雅虎奇摩(Yahoo! Inc.);2016-04-19;台北市;2016-04-19;2016 Summer Intern, Production Engineering
2016-04-19;雅虎奇摩(Yahoo! Inc.);2016-04-19;台北市;2016-04-19;2016 Summer Intern, Technical – Search
2016-04-19;永豐商業銀行股份有限公司;2016-04-19;台北市;2016-04-19;行銷企劃部-大數據分析人員-銀行
2016-04-19;中華電信股份有限公司;2016-04-19;台北市 中正區;2016-04-19;企業客戶大數據平台整體架構規劃工程師
2016-04-19;台灣積體電路製造股份有限公司;2016-04-19;新竹市 東區;2016-04-19;資訊工程類- 資訊技術建構工程師
2016-04-20;台灣亞馬遜網路服務有限公司;2016-04-20;台北市 信義區;2016-04-20;Cloud Engineer – Big Data(大數據工程師)
2016-04-20;久大資訊網路股份有限公司;2016-04-20;台中市 西屯區;2016-04-20;程式工程師(台中)
2014-06-06;北京英泰德商务咨询有限公司;2014-06-06;台灣;2014-06-06;知名数据仓库设备商 Experienced Hadoop Architect
2014-08-06;願境網訊股份有限公司;2014-08-06;台北市 南港區;2014-08-06;Engineer for Video Recommendation Framework
2016-07-20;雅虎奇摩(Yahoo! Inc.);2016-07-20;台北市;2016-07-20;Search Data Engineer (Oracle/Hadoop)
2014-04-05;宏達國際電子股份有限公司;2014-04-05;新北市 新店區;2014-04-05;(Information Technology) Database Developing Engineer-J00796
2014-08-23;聯發科技股份有限公司;2014-08-23;新竹市;2014-08-23;雲端與大數據應用工程師
2014-04-16;VisualON;2014-04-16;台北市;2014-04-16;雲端/應用程式設計師
2014-04-16;馬來西亞商思想科技有限公司台灣分公司;2014-04-16;台灣;2014-04-16;軟件開發工程師
2014-07-23;趨勢科技;2014-07-23;台北市;2014-07-23;Sr. Engineer (Data Researcher)
2014-06-05;神通資訊科技股份有限公司;2014-06-05;台北市 內湖區;2014-06-05;商業智慧管理師
2014-07-12;遠傳電信股份有限公司;2014-07-12;台北市 內湖區;2014-07-12;Big Data 技術架構師(Architect)
2014-07-12;華亞科技股份有限公司;2014-07-12;桃園縣 龜山鄉;2014-07-12;103年度研發替代役-資訊開發工程師
